i,p_i=(i-0.5)/n,Z score,Fixation Count,Standardized  FC,Forward Saccade Count,Standard FSC,Backward Saccade Count,Standard BSC,Saccade Veloiy,Standard SV
259,0.867449664,1.114416213,172,0.916073755,131,0.992046761,46,0.9042214,0.444532939,1.157481991
260,0.870805369,1.130206404,172,0.916073755,132,1.012349621,47,0.955576075,0.446993849,1.181338256
261,0.874161074,1.146283537,174,0.94637231,133,1.03265248,47,0.955576075,0.449589647,1.206502136
262,0.877516779,1.162662547,177,0.991820142,134,1.05295534,47,0.955576075,0.449620127,1.206797612
263,0.880872483,1.179359553,178,1.00696942,135,1.073258199,48,1.006930749,0.45008125,1.211267776
264,0.884228188,1.196391994,178,1.00696942,136,1.093561058,48,1.006930749,0.450494527,1.215274118
265,0.887583893,1.213778772,178,1.00696942,137,1.113863918,48,1.006930749,0.455523761,1.264027927
266,0.890939597,1.231540429,183,1.082715807,140,1.174772496,48,1.006930749,0.459186915,1.299538845
267,0.894295302,1.249699347,189,1.173611471,140,1.174772496,48,1.006930749,0.460048768,1.307893719
268,0.897651007,1.268279972,190,1.188760749,140,1.174772496,48,1.006930749,0.460626836,1.313497558
269,0.901006711,1.287309088,193,1.234208581,145,1.276286792,50,1.109640098,0.464940164,1.355311316
270,0.904362416,1.306816124,196,1.279656413,148,1.33719537,50,1.109640098,0.466413505,1.369594005
271,0.907718121,1.326833523,197,1.294805691,148,1.33719537,50,1.109640098,0.467721966,1.382278334
272,0.911073826,1.347397178,201,1.3554028,149,1.35749823,51,1.160994773,0.468755333,1.392295879
273,0.91442953,1.36854694,201,1.3554028,149,1.35749823,52,1.212349447,0.470693964,1.411089128
274,0.917785235,1.390327238,201,1.3554028,151,1.398103948,52,1.212349447,0.471560429,1.419488712
275,0.92114094,1.412787819,202,1.370552078,154,1.459012526,52,1.212349447,0.478984763,1.491460819
276,0.924496644,1.435984642,211,1.506895575,156,1.499618245,52,1.212349447,0.481010362,1.511097143
277,0.927852349,1.459980978,212,1.522044852,162,1.621435401,52,1.212349447,0.48245564,1.525107787
278,0.931208054,1.484848758,220,1.643239071,163,1.641738261,53,1.263704122,0.487847209,1.577374102
279,0.934563758,1.51067026,223,1.688686904,166,1.702646839,55,1.366413471,0.49572125,1.653705706
280,0.937919463,1.53754022,223,1.688686904,167,1.722949698,55,1.366413471,0.501514927,1.709870089
281,0.941275168,1.565568521,224,1.703836181,172,1.824463995,55,1.366413471,0.503046661,1.724718845
282,0.944630872,1.594883656,224,1.703836181,175,1.885372573,56,1.417768145,0.504336955,1.737227062
283,0.947986577,1.625637252,226,1.734134736,179,1.96658401,56,1.417768145,0.50822628,1.774930499
284,0.951342282,1.658010058,227,1.749284013,185,2.088401166,57,1.46912282,0.512557989,1.816922444
285,0.954697987,1.69222004,240,1.94622462,185,2.088401166,59,1.571832169,0.516588998,1.855999378
286,0.958053691,1.728533516,242,1.976523175,185,2.088401166,61,1.674541518,0.518801903,1.877451462
287,0.961409396,1.767280834,247,2.052269562,190,2.189915463,61,1.674541518,0.527302772,1.959859588
288,0.964765101,1.808879032,254,2.158314504,191,2.210218322,62,1.725896193,0.531746692,2.002939316
289,0.968120805,1.853865608,257,2.203762336,194,2.2711269,66,1.931314891,0.539687262,2.079915857
290,0.97147651,1.902950689,267,2.35525511,197,2.332035478,74,2.342152287,0.544192946,2.12359433
291,0.974832215,1.957101208,276,2.491598607,200,2.392944056,76,2.444861636,0.545019382,2.131605869
292,0.978187919,2.017684203,281,2.567344994,205,2.494458353,77,2.496216311,0.568359624,2.357868103
293,0.981543624,2.086727746,301,2.870330542,207,2.535064072,83,2.804344358,0.568764326,2.361791317
294,0.984899329,2.167439708,305,2.930927652,239,3.184755571,85,2.907053707,0.571040519,2.38385692
295,0.988255034,2.265370829,317,3.112718981,250,3.408087024,110,4.19092057,0.60069194,2.671300244
296,0.991610738,2.391525388,381,4.082272736,252,3.448692742,115,4.447693943,0.605351614,2.716471509
297,0.994966443,2.573515488,394,4.279213342,265,3.712629914,141,5.78291548,0.605643772,2.719303713
298,0.998322148,2.933123417,432,4.854885884,271,3.83444707,160,6.758654297,0.637185365,3.02507052
